id,x,y,size,label
1,0.3050,0.1067,70,"Geography"
2,0.9033,0.4367,70,"Academia"
3,0.5550,0.4150,70,"Other"
4,0.3150,0.8150,55,"Biography"
5,0.2350,0.5900,50,"Entertainment"
